text,label
"Scientists develop new malaria vaccine with 90% efficacy in clinical trials",REAL
"Federal Reserve raises interest rates amid persistent inflation concerns",REAL
"New study links Mediterranean diet to reduced risk of heart disease",REAL
"NASA confirms successful landing of rover on Mars surface",REAL
"WHO reports global vaccination rates rising after pandemic dip",REAL
"Local government announces new infrastructure budget for next fiscal year",REAL
"Researchers at Stanford publish findings on renewable battery storage",REAL
"Stock markets close higher after strong quarterly earnings reports",REAL
"University study finds regular exercise improves cognitive function in older adults",REAL
"Officials confirm bridge repairs will begin next month after inspection",REAL
"Scientists at MIT develop more efficient solar panel technology",REAL
"Health department reports decline in seasonal flu cases this year",REAL
"City council approves funding for new public transportation routes",REAL
"Survey shows majority of workers prefer hybrid work arrangements",REAL
"Central bank holds interest rates steady citing economic stability",REAL
"Clinical trial data shows new drug reduces cholesterol significantly",REAL
"Government publishes annual report on employment statistics",REAL
"Astronomers discover new exoplanet using advanced telescope data",REAL
"Study finds correlation between sleep quality and productivity levels",REAL
"Committee announces new regulations for food safety standards",REAL
"Analysts report steady growth in renewable energy investment",REAL
"Public health officials recommend updated vaccination schedule for children",REAL
"Researchers publish peer-reviewed study on ocean temperature trends",REAL
"Election officials confirm final vote count after audit process",REAL
"University researchers develop new method for water purification",REAL
"SHOCKING: Government secretly poisons water supply for mind control",FAKE
"Doctors HATE this man for revealing cancer cure big pharma hides",FAKE
"EXPOSED: Global elites microchipping population through vaccines",FAKE
"BREAKING!!! Secret society controls all world governments from underground bunker",FAKE
"One simple trick doctors don't want you to know about weight loss",FAKE
"Deep state whistleblower reveals shocking truth about moon landing hoax",FAKE
"Mainstream media completely hides proof that earth is actually flat",FAKE
"Illuminati secretly controls weather using hidden satellite technology",FAKE
"Government suppressed cure for all diseases to protect pharma profits",FAKE
"Chemtrails are secretly poisoning population says anonymous insider",FAKE
"Shocking bombshell leaked documents expose global mind control cabal",FAKE
"Celebrity secretly replaced by clone reveals shadow government insider",FAKE
"Vaccines contain microchips for population control confirms whistleblower",FAKE
"Banned footage exposes secret alien base hidden by globalist elites",FAKE
"Doctors furious after man exposes miracle cure suppressed for decades",FAKE
"EXCLUSIVE: Reptilian elites secretly rule world from underground cabal",FAKE
"Absolutely confirmed proof that moon landing was completely faked",FAKE
"Wake up sheeple mainstream media hides shocking truth every day",FAKE
"Leaked insider documents expose secret plan for population control",FAKE
"Government officials secretly meeting with aliens says leaked report",FAKE
"This exposes the biggest cover-up in history says anonymous insider",FAKE
"Big pharma suppresses natural cure that destroys all cancer cells",FAKE
"Secret shadow government controls economy through hidden banking cabal",FAKE
"BOMBSHELL: Leaked insider footage proves global conspiracy is real",FAKE
"Miracle herb completely cures all disease says suppressed insider report",FAKE
